disturbance,h_scale,load_level,t_event,i_gentrip,seed,run_id,f_nadir_hz,f_zenith_hz,rocof_hz_s,settling_s,f_min_hz,f_max_hz,converged,runtime_s
baseline,0.9691821332289157,1.199038105434024,0.0,0,81,81,0.00068056014697504,0.0010330538516782894,0.0008185259596871219,0.0,59.999319439853025,60.00103305385168,True,40.698
baseline,0.6353637090788831,1.1591343100222873,0.0,0,82,82,0.0008891352850284306,0.001377846773102931,0.0011839562087345712,0.0,59.99911086471497,60.0013778467731,True,40.76
baseline,1.4505445699230974,1.0047627688140561,0.0,0,83,83,0.0005568638457802422,0.0007189806590588432,0.0005634449272662323,0.0,59.99944313615422,60.00071898065906,True,41.115
baseline,0.7292524500246883,0.8627803980540916,0.0,0,84,84,0.000793541543131937,0.0012833500437778866,0.0010520258312141095,0.0,59.99920645845687,60.00128335004378,True,40.911
baseline,0.906446099099283,1.0831964026867615,0.0,0,85,85,0.000701762205586931,0.0010975278513711828,0.0008690883336015531,0.0,59.99929823779441,60.00109752785137,True,40.982
baseline,0.6006402065322003,1.1376465289783555,0.0,0,86,86,0.0009286929736305183,0.0014106598361323108,0.0012416269554904602,0.0,59.99907130702637,60.00141065983613,True,41.164
baseline,0.6286188730192488,1.0263720618828844,0.0,0,87,87,0.000896624645413624,0.0013843345834487764,0.0011947322878569366,0.0,59.999103375354586,60.00138433458345,True,41.293
baseline,0.9372076710582832,0.8109797577761263,0.0,0,88,88,0.0006911698000706679,0.0010657263201281353,0.0008435536385320574,0.0,59.99930883019993,60.00106572632013,True,40.589
baseline,1.0247389171609704,0.9560978278076712,0.0,0,89,89,0.0006630226779833492,0.0009774049302464505,0.0007783275172101867,0.0,59.99933697732202,60.00097740493025,True,40.618
baseline,0.5812110291844037,0.9612285475986484,0.0,0,90,90,0.0009519627144669585,0.0014283283138496472,0.0012764484402083554,0.0,59.99904803728553,60.00142832831385,True,40.56
baseline,0.8224438480008525,0.9228664820071535,0.0,0,91,91,0.0007328222667268847,0.001185593943780816,0.0009472483755956773,0.0,59.99926717773327,60.00118559394378,True,40.932
baseline,0.6867439392995953,0.9275821219936736,0.0,0,92,92,0.0008349239927980534,0.0013269448541706197,0.001107903584696146,0.0,59.9991650760072,60.00132694485417,True,40.907
baseline,0.9117215051855032,1.133777305475736,0.0,0,93,93,0.000699917791173732,0.001092051403574601,0.0008646011714574797,0.0,59.999300082208826,60.001092051403575,True,40.698
baseline,1.3269640980353667,0.932845676233583,0.0,0,94,94,0.000583475125765176,0.000761705775303767,0.0006130160392814332,0.0,59.999416524874235,60.000761705775304,True,40.95
baseline,0.8151899152116574,1.016139394574783,0.0,0,95,95,0.000735664531973157,0.0011932400595711101,0.0009546528129789067,0.0,59.99926433546803,60.00119324005957,True,41.384
baseline,1.1082516228343393,1.0482742596159755,0.0,0,96,96,0.0006385830544886062,0.0008969436331156544,0.0007246558453033458,0.0,59.99936141694551,60.000896943633116,True,40.666
baseline,1.0580201620807907,1.0301720680815691,0.0,0,97,97,0.0006530214902298326,0.0009448478489986201,0.0007560404668538467,0.0,59.99934697850977,60.000944847849,True,40.54
baseline,0.8693770273478657,1.0148061752216293,0.0,0,98,98,0.0007150643716542504,0.0011362275912958353,0.0009019525298725739,0.0,59.999284935628346,60.001136227591296,True,40.728
baseline,1.111855105979128,0.8522421740493145,0.0,0,99,99,0.0006375761087866749,0.000893567278545504,0.0007225013533229685,0.0,59.99936242389121,60.000893567278546,True,40.958
islanding,0.7981746527464715,0.8561598795302181,2.0868034240603484,0,100,100,0.9731021141232503,4.0913430089596545,8.376789532736026,,59.02689788587675,64.09134300895965,True,54.028
islanding,1.1085801351286824,0.980959365929487,1.6698575257805304,0,101,101,0.7925246652294149,1.7212159298966725,3.0140669264213926,,59.207475334770585,61.72121592989667,True,54.035
islanding,1.384632923560547,0.9538437221316006,2.180216035092761,0,102,102,1.1527268123838255,1.2476560304204583,8.47164256217141,,58.847273187616175,61.24765603042046,True,54.255
islanding,0.7240536443503368,0.904265943424222,1.435081379965459,0,103,103,1.032997926988898,3.776767144827872,3.967428146876557,9.907,58.9670020730111,63.77676714482787,True,54.404
islanding,0.9382952452333612,1.0552854126778732,1.3476854965566878,0,104,104,1.1983944603168908,2.156834792650315,3.22208471878227,,58.80160553968311,62.156834792650315,True,54.209
islanding,1.2793570716879148,0.9743937029630992,2.6033227056973827,0,105,105,1.0264918702625465,3.5548774210755525,8.632405886472014,,58.97350812973745,63.55487742107555,True,53.744
islanding,0.5554902594934419,1.0464682453111023,2.3862481774880195,0,106,106,1.2694031287955667,8.403676712460864,15.531894980015792,,58.73059687120443,68.40367671246086,True,53.982
islanding,1.216315844204204,1.0144771902324994,2.5187228060217244,0,107,107,0.9301826243412705,3.6150810966702025,8.684649859279432,,59.06981737565873,63.6150810966702,True,54.179
islanding,0.7401284699280917,1.176839990247922,2.9104760712817015,0,108,108,1.0192366124004906,3.1268095861964724,10.649866513583888,,58.98076338759951,63.12680958619647,True,53.724
islanding,1.317329491798021,1.1143999436149483,2.935532423993982,0,109,109,1.0718294690607877,3.7570042631946947,8.583383305066548,,58.92817053093921,63.757004263194695,True,53.926
islanding,0.5852408953752128,1.03450329332747,1.3042047368084564,0,110,110,1.4899550559661776,1.8812161541748011,12.024959811596432,9.996500000000001,58.51004494403382,61.8812161541748,True,53.805
islanding,1.4873602127393155,0.9472330472573952,1.1900266709425154,0,111,111,0.6560403055719917,2.7427919090010846,2.008670740643339,,59.34395969442801,62.742791909001085,True,54.172
islanding,0.9556973164805951,1.1177921264647508,2.3444948951715157,0,112,112,1.20243876963616,3.3721879571127147,8.145473289476044,,58.79756123036384,63.372187957112715,True,53.609
islanding,0.774736993512288,1.071401697789291,1.263150311599133,0,113,113,0.9910962092880169,3.3944369204190963,3.726734413531716,,59.00890379071198,63.394436920419096,True,53.936
islanding,0.5029936871414826,0.8370743788665338,1.360664046645819,0,114,114,1.3096495208165138,2.2566319729954714,8.475235070222809,,58.690350479183486,62.25663197299547,True,53.966
islanding,1.446070435100229,0.8674856732451414,0.781360364274607,0,115,115,0.6681748313973017,1.9509745494957542,1.703285502090921,,59.3318251686027,61.950974549495754,True,54.149
islanding,0.6864025517706123,0.8774601441461009,0.75668896954262,0,116,116,1.067129507883621,3.713251254980989,4.1676293169742,,58.93287049211638,63.71325125498099,True,53.796
islanding,1.4021442115868776,1.1470487692556282,1.7746403135372386,0,117,117,0.681691132915482,1.3938878824548766,2.5263969743090797,9.4215,59.31830886708452,61.39388788245488,True,53.995
islanding,0.9692037805640454,1.1860899417875117,2.562919617810507,0,118,118,0.8625767107883249,4.596556088505494,8.21546107821895,,59.137423289211675,64.5965560885055,True,53.901
islanding,1.1460373540469124,0.9011646413700364,2.9517293745622726,0,119,119,0.7843012077550924,4.994793800299092,8.687584006212887,,59.21569879224491,64.99479380029909,True,54.233
islanding,0.9121164790216844,1.136939565286644,0.8052903108061935,0,120,120,0.8959205939072561,2.936119220785905,3.1991601528714853,9.9815,59.104079406092744,62.936119220785905,True,53.693
islanding,1.0809701528120592,1.087967718257345,0.6958432726645292,0,121,121,0.8052912457326968,2.4192473819768026,2.281015766021568,,59.1947087542673,62.4192473819768,True,54.131
islanding,0.561354243424492,0.8828601451779335,2.4535162749400348,0,122,122,1.3093532352435346,8.456831586845539,15.670927135777575,,58.690646764756465,68.45683158684554,True,54.164
islanding,1.0907494047073998,0.8260801446066643,2.424646935838915,0,123,123,0.8007125937954669,3.941573544805088,8.629415392775925,,59.19928740620453,63.94157354480509,True,54.256
islanding,1.0791889150875444,1.198735668365456,2.897091130272477,0,124,124,0.8061319141307308,5.281494338223922,8.608387144392253,,59.19386808586927,65.28149433822392,True,53.997
